,Date,Temperature,Humidity,Pressure
0,2022-06-11 00:00:07,24.55,47.49,14.68
1,2022-06-11 00:00:37,24.55,47.48,14.68
2,2022-06-11 00:01:07,24.55,47.55,14.68
3,2022-06-11 00:01:38,24.55,47.57,14.68
4,2022-06-11 00:02:08,24.55,47.62,14.68
5,2022-06-11 00:02:38,24.55,47.6,14.68
6,2022-06-11 00:03:09,24.55,47.58,14.68
7,2022-06-11 00:03:39,24.55,47.64,14.68
8,2022-06-11 00:04:09,24.55,47.66,14.68
9,2022-06-11 00:04:40,24.55,47.65,14.68
10,2022-06-11 00:05:10,24.55,47.61,14.68
11,2022-06-11 00:05:40,24.55,47.59,14.68
12,2022-06-11 00:06:11,24.55,47.55,14.68
13,2022-06-11 00:06:41,24.55,47.56,14.68
14,2022-06-11 00:07:11,24.55,47.51,14.68
15,2022-06-11 00:07:41,24.54,47.53,14.68
16,2022-06-11 00:08:12,24.55,47.56,14.68
17,2022-06-11 00:08:42,24.55,47.59,14.68
18,2022-06-11 00:09:12,24.55,47.62,14.68
19,2022-06-11 00:09:43,24.52,47.67,14.68
20,2022-06-11 00:10:13,24.54,47.71,14.68
21,2022-06-11 00:10:43,24.54,47.65,14.68
22,2022-06-11 00:11:14,24.55,47.67,14.68
23,2022-06-11 00:11:44,24.55,47.72,14.68
24,2022-06-11 00:12:14,24.55,47.69,14.68
25,2022-06-11 00:12:45,24.55,47.61,14.68
26,2022-06-11 00:13:15,24.55,47.53,14.68
27,2022-06-11 00:13:45,24.55,47.52,14.68
28,2022-06-11 00:14:16,24.55,47.49,14.68
29,2022-06-11 00:14:46,24.54,47.45,14.68
30,2022-06-11 00:15:16,24.54,47.41,14.68
31,2022-06-11 00:15:47,24.54,47.44,14.68
32,2022-06-11 00:16:17,24.54,47.49,14.68
33,2022-06-11 00:16:47,24.54,47.51,14.68
34,2022-06-11 00:17:18,24.55,47.47,14.68
35,2022-06-11 00:17:48,24.54,47.58,14.68
36,2022-06-11 00:18:18,24.54,47.57,14.68
37,2022-06-11 00:18:49,24.53,47.59,14.68
38,2022-06-11 00:19:19,24.53,47.55,14.68
39,2022-06-11 00:19:49,24.55,47.48,14.68
40,2022-06-11 00:20:20,24.54,47.46,14.68
41,2022-06-11 00:20:50,24.54,47.38,14.68
42,2022-06-11 00:21:20,24.54,47.33,14.68
43,2022-06-11 00:21:51,24.54,47.3,14.68
44,2022-06-11 00:22:21,24.54,47.29,14.68
45,2022-06-11 00:22:51,24.52,47.3,14.68
46,2022-06-11 00:23:21,24.53,47.25,14.68
47,2022-06-11 00:23:52,24.54,47.31,14.68
48,2022-06-11 00:24:22,24.54,47.26,14.68
49,2022-06-11 00:24:52,24.54,47.26,14.68
50,2022-06-11 00:25:23,24.53,47.29,14.68
51,2022-06-11 00:25:53,24.54,47.24,14.68
52,2022-06-11 00:26:23,24.54,47.33,14.68
53,2022-06-11 00:26:54,24.54,47.21,14.68
54,2022-06-11 00:27:24,24.53,47.14,14.68
55,2022-06-11 00:27:54,24.53,47.13,14.68
56,2022-06-11 00:28:25,24.53,47.05,14.68
57,2022-06-11 00:28:55,24.54,47.04,14.68
58,2022-06-11 00:29:25,24.52,47.02,14.68
59,2022-06-11 00:29:56,24.52,47.0,14.68
60,2022-06-11 00:30:26,24.53,46.99,14.67
61,2022-06-11 00:30:56,24.53,47.01,14.68
62,2022-06-11 00:31:27,24.54,47.06,14.68
63,2022-06-11 00:31:57,24.53,47.08,14.68
64,2022-06-11 00:32:27,24.53,47.13,14.68
65,2022-06-11 00:32:58,24.53,47.05,14.67
66,2022-06-11 00:33:28,24.54,47.11,14.68
67,2022-06-11 00:33:58,24.53,47.09,14.68
68,2022-06-11 00:34:29,24.53,47.08,14.68
69,2022-06-11 00:34:59,24.53,47.03,14.68
70,2022-06-11 00:35:29,24.52,46.96,14.68
71,2022-06-11 00:36:00,24.53,46.96,14.68
