,Date,Temperature,Humidity,Pressure
0,2022-06-26 00:00:09,24.07,48.64,14.67
1,2022-06-26 00:00:40,24.08,48.69,14.67
2,2022-06-26 00:01:10,24.07,48.59,14.67
3,2022-06-26 00:01:40,24.07,48.64,14.68
4,2022-06-26 00:02:11,24.06,48.56,14.67
5,2022-06-26 00:02:41,24.06,48.64,14.67
6,2022-06-26 00:03:11,24.07,48.57,14.67
7,2022-06-26 00:03:42,24.07,48.52,14.67
8,2022-06-26 00:04:12,24.08,48.48,14.67
9,2022-06-26 00:04:42,24.07,48.47,14.67
10,2022-06-26 00:05:13,24.06,48.45,14.67
11,2022-06-26 00:05:43,24.07,48.37,14.67
12,2022-06-26 00:06:13,24.07,48.29,14.67
13,2022-06-26 00:06:44,24.07,48.35,14.67
14,2022-06-26 00:07:14,24.07,48.37,14.67
15,2022-06-26 00:07:44,24.07,48.22,14.67
16,2022-06-26 00:08:15,24.07,48.26,14.67
17,2022-06-26 00:08:45,24.07,48.22,14.67
18,2022-06-26 00:09:15,24.07,48.19,14.67
19,2022-06-26 00:09:46,24.07,48.12,14.67
20,2022-06-26 00:10:16,24.07,48.17,14.67
21,2022-06-26 00:10:46,24.06,48.1,14.67
22,2022-06-26 00:11:17,24.06,48.08,14.67
23,2022-06-26 00:11:47,24.07,48.09,14.67
24,2022-06-26 00:12:17,24.07,48.06,14.68
25,2022-06-26 00:12:48,24.08,48.08,14.67
26,2022-06-26 00:13:18,24.07,48.02,14.67
27,2022-06-26 00:13:48,24.07,48.0,14.67
28,2022-06-26 00:14:18,24.07,48.02,14.67
29,2022-06-26 00:14:49,24.07,47.97,14.67
30,2022-06-26 00:15:19,24.08,47.96,14.67
31,2022-06-26 00:15:49,24.07,47.91,14.67
32,2022-06-26 00:16:20,24.07,47.9,14.67
33,2022-06-26 00:16:50,24.08,47.91,14.68
34,2022-06-26 00:17:20,24.06,47.91,14.67
35,2022-06-26 00:17:51,24.07,47.9,14.67
36,2022-06-26 00:18:21,24.07,47.91,14.68
37,2022-06-26 00:18:51,24.07,47.89,14.67
38,2022-06-26 00:19:22,24.06,47.83,14.67
39,2022-06-26 00:19:52,24.07,47.89,14.67
40,2022-06-26 00:20:22,24.07,47.88,14.68
41,2022-06-26 00:20:53,24.07,47.79,14.68
42,2022-06-26 00:21:23,24.08,47.84,14.67
43,2022-06-26 00:21:53,24.08,47.79,14.67
44,2022-06-26 00:22:24,24.06,47.82,14.67
45,2022-06-26 00:22:54,24.06,47.75,14.67
46,2022-06-26 00:23:24,24.06,47.82,14.67
47,2022-06-26 00:23:55,24.06,47.79,14.67
48,2022-06-26 00:24:25,24.07,47.85,14.68
49,2022-06-26 00:24:55,24.07,47.75,14.67
50,2022-06-26 00:25:26,24.07,47.8,14.67
51,2022-06-26 00:25:56,24.06,47.78,14.67
52,2022-06-26 00:26:26,24.07,47.81,14.67
53,2022-06-26 00:26:57,24.07,47.84,14.68
54,2022-06-26 00:27:27,24.08,47.74,14.67
55,2022-06-26 00:27:57,24.07,47.78,14.67
56,2022-06-26 00:28:28,24.06,47.75,14.68
57,2022-06-26 00:28:58,24.06,47.76,14.67
58,2022-06-26 00:29:28,24.07,47.8,14.67
59,2022-06-26 00:29:58,24.07,47.76,14.67
60,2022-06-26 00:30:29,24.07,47.81,14.67
61,2022-06-26 00:30:59,24.07,47.83,14.67
62,2022-06-26 00:31:29,24.08,47.79,14.67
63,2022-06-26 00:32:00,24.06,47.8,14.67
64,2022-06-26 00:32:30,24.07,47.79,14.67
65,2022-06-26 00:33:00,24.07,47.78,14.67
66,2022-06-26 00:33:31,24.07,47.84,14.67
67,2022-06-26 00:34:01,24.07,47.84,14.67
68,2022-06-26 00:34:31,24.07,47.81,14.67
